node:ID,name,:LABEL
h_d2a08b1966117ac93cb33f90f2e54f8ac5b81932fc587d10f602c64c8318c863,灵磁石,草药
h_b2ddd087bd1349e3c6e77d16b5bd1f507fb5494caccdffd92cf54a209a6e7ba7,方剂_crkfzl,方剂
h_ed25d227391142331e90411e41df6802540af019f88c50e9ffc4dc96a2369fcc,方剂_crklxhxqrjdfzlyxb,方剂
h_60dc6dc722d7af01f32ced9d58f37866870baf21a93c8a61fa8a338f8e3cfc2b,银屑病,疾病
h_4e01bc3951cedd48a1342fee260ebfec126e678d88fc8bd96bd67f297cd0c1c6,草河车,草药
h_b2e9a4fc2b7df4bcbc488e12da9f67db277a6960f81f2b4ac4b0b0ff63ec4c3a,白花蛇舌草,草药
h_0f07ff49aa1191346c3cc56d5147a15fc1bd34d864921dfdc250b4e90264db5b,白癣皮,草药
h_455dac85e22f1fd6973678b6de6f220d8d2e3ca6df3a6a97f0cf21fce0235df0,凉血除湿汤加减_crkqrlshyqffzlsc,方剂
h_c281145b1e07cd0ae834dfb260927d026d586308fcaec434d83fbc5ee2cc2dde,白驳汤_crkbgysdhqxfzlbdf,方剂
h_a4f32d0b519c1b236992a2fd950f92241a776ddb74f6904959b9bb9ef6d64ebb,方剂_crkqrlxhxhyfzlyxb,方剂
h_6c54977f0fc5a4f195246f8c21c22a8b344c3a40e9cbd4809dfbc75d5730119e,厚朴,草药
h_36e177145c0eeebafb80308c036bcb55eefc7844420af9aee7c17322afa492a0,陈皮,草药
h_8f19d44458c880a84263c3c018a16f679f734d2bdb6553e0e20782ccd690e7a5,白驳方_crkzbgsjpyqfzlbbf,方剂
h_8cd0d8ebce4ed9d7c6944e61409518db95dd06c5c7e4f4cc8f3fe6c3357ed299,自然铜,草药
h_1eca3dc05e16476c745e5587082427c0baf139774d3b4f5a70ae1e1832412976,方剂_crklxhxqrjdfzlbb,方剂
h_73c4b5604ecd9305c05de627f13513991657a7022d09c5417a33506409c65b18,栀子,草药
h_6061a1e338393bc55bb98ebb74ea35a91cfa9a4180d633d8b7534c01cad124f3,豨签草,草药
h_dd4986a6e76568d823b2cd56b6f4f7dbb7c53386ecca23e507fc5fa15420f800,四君子合甘麦大枣汤加减_cxsnxjpsghjfzlzz,方剂
h_e9b7d0bfb02924cf95627625e067d910a6b855f343ce9378bac9ea083053a336,脏躁,疾病
h_c138df71e0518d87608c91f8afe6ce6289d84ab660852b9205fa38f3bd7ee645,炒党参,草药
h_d0c74331ec61f237729980477f8119f6aefdd8c0c1a78d39630dcb5cc61bddd1,炒白术,草药
h_6640b3f66096b7f36133b80f8df849eba6be5e133aa7defb80d7dbbbc9032f99,云茯苓,草药
h_9139e5539866e6d1995737d764e212921613696b930be098f2180d4e4ccffb9d,朱远志,草药
h_a9b9f05106b4e977b23bc3a0a46cfebeb102547eaa3b061c308f8261b2e5726f,夜交藤,草药
h_a810c0ae2c3d3a2fc2cc3b650b0fe61854dba562ee18d709fc54a54504b5f90b,柴胡,草药
h_930a78fe29458f15a93371ba95a042ba84b915e1f89e8cbb4f1befa40a3e0b71,白蒺藜,草药
h_68a3910d785cb3a52b729f096d76c29011625f78a6ecf55bf91e583be0fc2b9b,淮小麦,草药
h_3d9f7ccc4d81fca8f3e4492137db32428d70d861fa1452495dea0e5ee21fdd3a,炙甘草,草药
h_485306988789c5e93db1787949aca612534a064def088ca1b13a1c59261fdc36,大枣,草药
h_182630ac7295c8a544e9222de886f061094102335b4ee967b21f83398549e7ef,方剂_cxssghtxhnxfzlzz,方剂
h_916e600755add4a3a1b040246d34c3d67cf71e71562866649783438282addf9b,龙齿,草药
h_44d6e9fe10db8c8dff30f2aaf06ea7c3c4dde537318e08bdfdd355ef6fe9e1b5,菖蒲,草药
h_c29aaf02f597393acf0e2bd1c5be4736b75851504a818a081ca1b0b9ef0d4032,煅牡蛎,草药
